evt_block_time,evt_tx_hash,contract_address,collection_address,borrower,lender,loanAmountArrange,interestRate,auctionDuration,tokenId
2023-05-07 07:08:23.000 UTC,0xfb7ab0ce3f0233a1b3c7e6189c8a4f5a8caedd7361b0a56d8756eaec7300d859,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x6e9fe041e0ba8c2af35215d900d188d53d7a9b41,0x8bc110db7029197c3621bea8092ab1996d5dd7be,12.31,0,9000,1306
2023-05-07 07:11:35.000 UTC,0xc9f16001deab9e96276354e7e5237e34a79b5c93211aaa13d59d776966d8a731,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x6e9fe041e0ba8c2af35215d900d188d53d7a9b41,0x84957e6c9f6ccfed9c35c850c3903732ed90858a,13.63012012,6.942,9000,4319
2023-05-07 07:33:11.000 UTC,0xdf152c333ce4db78bd76f64c92e470941de77af2078e105e51a830053f37abd1,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x25bdfc6f2792ef6123695a159905542af3ac4b37,0x1e9b0ce14b52a94e102ddf8a5bd9421b3502c10c,12.01,0,9000,4230
2023-05-07 07:46:35.000 UTC,0x5978485d5ebc24ff5f3edd28f712c0716454c9e5503cdc560b844a0fca4fbf29,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x4b54caf0caaa938a1d11c07927ec4c45a3948eb9,0x8bc110db7029197c3621bea8092ab1996d5dd7be,10.73,0,9000,1035
2023-05-07 07:49:23.000 UTC,0xd24ef48636d6ab05a2ff200bf899a221876b834eb5a6fad06072d2f594368498,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x0916ff4ec43798e02d6c77383be0ebb0b41f7595,0x52536fd5a1d9a3ee13a741219429570abb3f91ce,12.97,0,9000,2613
2023-05-07 09:09:47.000 UTC,0x1f2884dac273fefebb3c4e023a41e169ec53ea281f1470abe88d331acc467e88,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xce841f783dc6d9df256af36b1cf6b3a52aa57cdc,12.62,0,9000,2384
2023-05-07 09:10:23.000 UTC,0x32ef58ef18c238125850fc36b6da42ab6094917e96aee0a0a27032299711a7ca,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x41fc2f810981d0c9fafe3facaf27b4e6fe23279c,0xce841f783dc6d9df256af36b1cf6b3a52aa57cdc,7.71,0,9000,925
2023-05-07 10:10:23.000 UTC,0x7e42689fc4a0658ffcf86391602e6378f1b166de2e4c33ca68fd5faef03b511b,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xe2eaf182d8254b17883b9448f2f34893e2b488e6,0xce841f783dc6d9df256af36b1cf6b3a52aa57cdc,13.01,0,9000,3580
2023-05-07 10:59:23.000 UTC,0x976e2b5b4b47f564794167bb5e5c30b1fba5a3658ba3e9e27aa44ff3baaa93db,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x31109265a787ef9fbf997242e36e9d78e8a61999,0x0a371369398d8047a2f7e3a0af1a7c1eefa3eb7e,13.25,0,9000,1952
2023-05-07 11:30:47.000 UTC,0x90e7d90a0062db01bc81771fbc0b2688f8d163668aee5ea566d86375bafbc866,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x86d8b7f2e1eb8d1b606138a4245ad8a0b614eb7a,0x2f889a7a78e6bbc66e67107864b01338ea1e102d,13.71011546,9.5,9000,6217
