contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,collection,lienId
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x3fb6508f6efef1cd37052380f3015a39e39864e2b2d1fa0cc9d7d98dab7eb3cb,247,2023-05-03 03:33:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,307
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x51ce996c22f85e321b34db232f76853a6985fae43051453940d26ace7a16217d,251,2023-05-03 08:14:11.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,369
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x2806f4ba3f22b0eb118610c6b83dc56bbc2729f9bfdcb732101de3fed95654ca,336,2023-05-03 10:28:35.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,479
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x4f2207f926a8d5657fac2f6a6d6f6b27de080085a560788dfaef6167daae4efd,254,2023-05-04 02:17:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,93
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xfe8f472ba4222d78ce26bf2101e04041ca5afd0ef09a2bf425bb55fb9a56f77f,143,2023-05-04 06:37:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,497
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x814571a38f2d0f45a6f1f11d8417f202d949428450ee1094c4d669b34264e7eb,263,2023-05-04 06:40:35.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,498
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x72d3b41680e303890343325951aac86bd3dcddea655702ce276c0cf9535e576e,280,2023-05-04 06:44:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,500
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x29741cff30257576dcd93a1accb498f037c97d7ded062259188aac1836ddd7e7,551,2023-05-04 07:30:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,512
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xdd5991f4db88213c1152352a27e7ae2f2b3b86ac7031d746f2308e3e69ac3121,268,2023-05-04 08:20:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,532
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x93cd1b2c173586f0d2c2f5af37ceca9fa3d8cd6857b14ca53feedf4fc057094a,311,2023-05-04 12:43:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,493
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x3b4627a592cd65adad77ab37c819bce8807868a4d560ce17cab1d6e544fff79f,342,2023-05-04 13:28:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,286
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x14a948152ed93fba4fbb53666f279c7edbd7189d014fb6f07c71f66fa6a7b930,442,2023-05-04 14:57:11.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,660
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xfe4ef84bfd1e6f90345386f4e388152df5f85b9d72122f6ee40c6326c622b8b6,228,2023-05-04 14:58:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,341
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xfe4ef84bfd1e6f90345386f4e388152df5f85b9d72122f6ee40c6326c622b8b6,225,2023-05-04 14:58:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,330
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x595656f32b92a78e34f6e139bdcc1240d89939be1b763c7f791d2ccae1adc102,375,2023-05-04 16:34:11.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,659
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x2e8eb91ab4ab0bc0e2827407390694fbff59c64de9b6559f729e6a58f585dd77,376,2023-05-04 17:37:11.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,730
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x2c1a505f433e484b49d316d074eb40a1e98293445197cad793bbd2ceae39b7a4,320,2023-05-04 17:50:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,567
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xe630be3a8575285745418d1ca7ecef8ed93716aef9c9927a9e2b1f326aa1dfe8,259,2023-05-04 18:54:11.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,719
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xcaf3f97c52edf894b63749bf01d2d11a171e6eb9aca33a07e572aae929de9744,199,2023-05-04 19:04:35.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,505
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb4554f8cc958d4527e1673d79872a9a33e266509e2e2e2d74b01dcaaf36e32d3,168,2023-05-04 19:40:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,749
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x05aacc6dc1467947f73cef1547c933a02caf553af8a99b0bc90d225e00505d16,449,2023-05-04 20:13:11.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,713
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb36874220e1634d1f625e3911d34711ef11ef38c62117bdeb6e3ba8882a2212c,356,2023-05-04 20:29:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,485
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb36874220e1634d1f625e3911d34711ef11ef38c62117bdeb6e3ba8882a2212c,353,2023-05-04 20:29:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,461
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb36874220e1634d1f625e3911d34711ef11ef38c62117bdeb6e3ba8882a2212c,350,2023-05-04 20:29:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,463
