collection_address,borrower,lender,loanAmount,interestRate
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,49.63,0.01
Wrapped Cryptopunks,0x551b30bc933e26e098bd2e68d436c24ed39b7312,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,49.57,0
Wrapped Cryptopunks,0x551b30bc933e26e098bd2e68d436c24ed39b7312,0xcbb0fe555f61d23427740984325b4583a4a34c82,49.57,0
Wrapped Cryptopunks,0x551b30bc933e26e098bd2e68d436c24ed39b7312,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,49.57,0.21
Wrapped Cryptopunks,0xf53feaeb035361c046e5669745695e450ebb4028,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,49.41,0.005
Wrapped Cryptopunks,0x6cfdad0772edc2ea15076a9706ec7c1f0a791ac1,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,49.15,0.01
Wrapped Cryptopunks,0x3447b7f5049143b9d8926cddeac1f42a2ce82b34,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,49.1,0.01
Wrapped Cryptopunks,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,49.1,0.01
Wrapped Cryptopunks,0xa7631836db2e3ec13cb2e7cfbc687c168dbed336,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,49.1,0.01
Wrapped Cryptopunks,0x2a98fcd155c9da4a28bdb32acc935836c233882a,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,49.1,0.01
Wrapped Cryptopunks,0xcbb0fe555f61d23427740984325b4583a4a34c82,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,49.1,0.01
Wrapped Cryptopunks,0x886cf70bab66becc693417c79c40e4d5e67f9252,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,49.1,0.01
Wrapped Cryptopunks,0x14a191ce45818063cb5a06561538f95c34de5402,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,49.1,0.01
Wrapped Cryptopunks,0xb284f19ffa703daadf6745d3c655f309d17370a5,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,49.1,0.01
Wrapped Cryptopunks,0x9023ef16968ffea318838a223ef2a79bd9f99f88,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,49.1,0.011
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,49.065,0
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,49.065,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,49,0.003
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,49,0.003
Wrapped Cryptopunks,0x385ce35599ae5e6f0eaf0f69841fffa9f41acdd5,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,48.93,0.005
Wrapped Cryptopunks,0x167375ff33dc19570577d55cd4be8883c8a0db03,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,48.91,0.003
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,48.81,0.003
Wrapped Cryptopunks,0xf41f22c7937cab33335b95df78d855d696a11aea,0xd8df37556ea7abb0252ef52daec8617997f0e016,48.7118515,0.008
Wrapped Cryptopunks,0xf41f22c7937cab33335b95df78d855d696a11aea,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,48.71,0.01
Wrapped Cryptopunks,0x357db7ab93eef87334f12aa4d02bfaa548c27514,0x7df70b612040c682d1cb2e32017446e230fcd747,48.61031401,0
Wrapped Cryptopunks,0x357db7ab93eef87334f12aa4d02bfaa548c27514,0x4271d22292aa37e13cd0c68b8210a7a6af194407,48.61031401,9.76
Wrapped Cryptopunks,0x357db7ab93eef87334f12aa4d02bfaa548c27514,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,48.61,0.002
Wrapped Cryptopunks,0xab7366058f5fcadf64d3a700f12e57429f273502,0x8bc110db7029197c3621bea8092ab1996d5dd7be,48,10
Wrapped Cryptopunks,0xfa0e027fcb7ce300879f3729432cd505826eaabc,0xaae8c50d76c76fb8947c9a203103d28b55862977,47.71,0.005
Wrapped Cryptopunks,0x7df70b612040c682d1cb2e32017446e230fcd747,0xaae8c50d76c76fb8947c9a203103d28b55862977,47.52,0.005
Wrapped Cryptopunks,0x7df70b612040c682d1cb2e32017446e230fcd747,0xaae8c50d76c76fb8947c9a203103d28b55862977,47.52,0.005
Wrapped Cryptopunks,0x7df70b612040c682d1cb2e32017446e230fcd747,0xaae8c50d76c76fb8947c9a203103d28b55862977,47.52,0.005
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,47,0
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,47,0
Wrapped Cryptopunks,0x77e3e957082ca648c1c5b0f3e6aec00ab1245186,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,46.74,0
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,46.65,0
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x3924b7681c6110fcd3628164388c3307f79d1059,46.65,0.5
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,46.55,0
Wrapped Cryptopunks,0xa7b9c7cb5dfaf482ce2d3166b955e685e080cbbc,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,46.55,0
Wrapped Cryptopunks,0x19e1444846db53861d0d78dc19786b3bd8cd681b,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,46.55,0
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x3924b7681c6110fcd3628164388c3307f79d1059,46.55,0.5
Wrapped Cryptopunks,0xaa0dee58a36b72c774317eb5f71afb2a04c85527,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,46.28,0
Wrapped Cryptopunks,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,0x52536fd5a1d9a3ee13a741219429570abb3f91ce,46,0.05
Wrapped Cryptopunks,0x8bc110db7029197c3621bea8092ab1996d5dd7be,0xbccf9025a0e2f6aad7e18972d754aaca38a4f847,45.78,0
Wrapped Cryptopunks,0x127ecf853f7c0d59e415a28354e482fd41604b4f,0xdfef68b86eff06691e3edfaebf620c84eb86f0e3,45.78,0
Wrapped Cryptopunks,0x127ecf853f7c0d59e415a28354e482fd41604b4f,0x52536fd5a1d9a3ee13a741219429570abb3f91ce,45.78,0.001
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x52536fd5a1d9a3ee13a741219429570abb3f91ce,45.78,0.002
Wrapped Cryptopunks,0xa7b9c7cb5dfaf482ce2d3166b955e685e080cbbc,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,45.76,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,45.57029593,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,45.57,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,45.57,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0xfa0e027fcb7ce300879f3729432cd505826eaabc,45.57,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0xbbdd1b3c87c211e482cda98ea14fa8bf50022ca0,45.57,0.002
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0xed1e24f7fe36bcb0ea582da4e2fa079c1997a5d4,45.57,0.1
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x127ecf853f7c0d59e415a28354e482fd41604b4f,45.54175648,0
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xd25821e8b44cae1d6060172ea6891d2ce9fad669,45.54,0.01
Wrapped Cryptopunks,0xf2c7aa440b04c7e5764b70cda4159911d72ed575,0xf8626584ac2687ad9d4d6395c100e5dbb77232f2,45.39,0
Wrapped Cryptopunks,0xf2c7aa440b04c7e5764b70cda4159911d72ed575,0xb2ee8af0d4435950380f67816da29caa6fc76793,45.39,0
Wrapped Cryptopunks,0xf2c7aa440b04c7e5764b70cda4159911d72ed575,0xfa0e027fcb7ce300879f3729432cd505826eaabc,45.39,0
Wrapped Cryptopunks,0xf2c7aa440b04c7e5764b70cda4159911d72ed575,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,45.39,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xcbb0fe555f61d23427740984325b4583a4a34c82,45.0050621,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,45.00029127,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xcbb0fe555f61d23427740984325b4583a4a34c82,45.00029127,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,45.00028938,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xcbb0fe555f61d23427740984325b4583a4a34c82,45.00028938,0
Wrapped Cryptopunks,0x453f143ef520c410fce45469382fe5bcca49d6a4,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0.8
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0
Wrapped Cryptopunks,0x86c36a26142a4c970769ecdab9c859cce0c1c1eb,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,45,0
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,45,0
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x84957e6c9f6ccfed9c35c850c3903732ed90858a,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x5f1ee29361206f1a129e808736f11598356c6031,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8dbc8cde8090dab72f4b2eeab8f7ffc524709c02,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xcbb0fe555f61d23427740984325b4583a4a34c82,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xb2ee8af0d4435950380f67816da29caa6fc76793,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xf32e0e22ff269a62aedb1b9cda736d6749efd63e,45,0.002
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xf32e0e22ff269a62aedb1b9cda736d6749efd63e,45,0.002
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xb2ee8af0d4435950380f67816da29caa6fc76793,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xb2ee8af0d4435950380f67816da29caa6fc76793,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xcbb0fe555f61d23427740984325b4583a4a34c82,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x52536fd5a1d9a3ee13a741219429570abb3f91ce,45,0.041
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xcbb0fe555f61d23427740984325b4583a4a34c82,45,0
Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0xcbb0fe555f61d23427740984325b4583a4a34c82,45,0
Wrapped Cryptopunks,0x7df70b612040c682d1cb2e32017446e230fcd747,0x8bc110db7029197c3621bea8092ab1996d5dd7be,44.75,0
Wrapped Cryptopunks,0x398abecc8702a78878b3fbe8ee154c625d4ead03,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,44.75,0
Wrapped Cryptopunks,0x7df70b612040c682d1cb2e32017446e230fcd747,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,44.75,0
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,44.75,0
Wrapped Cryptopunks,0x7df70b612040c682d1cb2e32017446e230fcd747,0x127ecf853f7c0d59e415a28354e482fd41604b4f,44.75,0
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x1e9b0ce14b52a94e102ddf8a5bd9421b3502c10c,44.72,0
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x127ecf853f7c0d59e415a28354e482fd41604b4f,44.72,0
Wrapped Cryptopunks,0xa7b9c7cb5dfaf482ce2d3166b955e685e080cbbc,0x8bc110db7029197c3621bea8092ab1996d5dd7be,44.65,0
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xfa0e027fcb7ce300879f3729432cd505826eaabc,44.62,0
Wrapped Cryptopunks,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x8bc110db7029197c3621bea8092ab1996d5dd7be,44.62,0
Wrapped Cryptopunks,0x7df70b612040c682d1cb2e32017446e230fcd747,0x127ecf853f7c0d59e415a28354e482fd41604b4f,44.27,0
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x3924b7681c6110fcd3628164388c3307f79d1059,44,0.3
Wrapped Cryptopunks,0xb2eb2a0d49ecbb696a33025a504fde2deaaff877,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,43.91,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0x1e9b0ce14b52a94e102ddf8a5bd9421b3502c10c,43.8,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0xb2b58d8d7dc287c5f30a54fe0a4643cf789198ed,43.8,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0xfa0e027fcb7ce300879f3729432cd505826eaabc,43.8,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0xcbb0fe555f61d23427740984325b4583a4a34c82,43.8,0
Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0xcbb0fe555f61d23427740984325b4583a4a34c82,43.8,0
Wrapped Cryptopunks,0x453f143ef520c410fce45469382fe5bcca49d6a4,0xf32e0e22ff269a62aedb1b9cda736d6749efd63e,42.5,0.2
Wrapped Cryptopunks,0x14a191ce45818063cb5a06561538f95c34de5402,0xb2b58d8d7dc287c5f30a54fe0a4643cf789198ed,42.39,0
Wrapped Cryptopunks,0x4825f5da5270347ab4ea536bc0fc9c844cbd13a0,0x84957e6c9f6ccfed9c35c850c3903732ed90858a,42.39,0
Wrapped Cryptopunks,0x14a191ce45818063cb5a06561538f95c34de5402,0x127ecf853f7c0d59e415a28354e482fd41604b4f,42.39,0
Wrapped Cryptopunks,0xc3e2fa491f1f2a36407f5ef3561b4bbc7851ef80,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,42.24,0
Wrapped Cryptopunks,0xc3e2fa491f1f2a36407f5ef3561b4bbc7851ef80,0x2372c672d32a6e9662089e7d544045f906071c86,42.24,0
Wrapped Cryptopunks,0xc3e2fa491f1f2a36407f5ef3561b4bbc7851ef80,0x5f1ee29361206f1a129e808736f11598356c6031,42.24,0
Wrapped Cryptopunks,0x453f143ef520c410fce45469382fe5bcca49d6a4,0x24d1b657698f4d39bbffc1640dd6cba37b5190ef,42,0.106
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,42,0.35
Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x5c943975ef916c5ed28c4c1105685c0582abd31e,42,0.35
Wrapped Cryptopunks,0xaae8c50d76c76fb8947c9a203103d28b55862977,0xfbbf9610ef0e01db8381350144befef0b6d22d13,41.85,0.1
