time,evt_tx_hash,contract_address,collection_address,borrower,lender,loanAmount,interestRate,auctionDuration,tokenId
5/1/2023,0x4f55f246e7b440dd29e6fc18e1f16c2b01fd4ffa266341d5050ebbbd96230aff,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x86cedfc92f374fd8a6b228fca47692fe0af04b9a,0xfbbf9610ef0e01db8381350144befef0b6d22d13,11.6,0,9000,8238
5/1/2023,0xbe3dd1cc820c973d9bfe53155f74634d4ffb8e263cccb50fef4f4896ca80549a,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x10eb84abd429fa4df8dcabbc7c2803822a5b82d9,0x51ae51ea0cea748c6dce1bebc50de352345fc822,13.31,0.07,9000,8880
5/1/2023,0x77198163c046c2700fb6d85b866c6d1cb28c96a97e5be21b6cc5e81a4ed52fcc,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x900cb4a0bfa00d567cfbd2b425584341dbefc30d,0x16be2582ad35aa56a8a247c61ab0cb7b9ac8fe19,11,0,9000,8355
5/1/2023,0x95c05e5597d5374c4d0145df61deb1a8d5cb62d2b99e14bc266a3a65e29267e0,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x66269854e9de1d0b5f0c42dc4355db5ccbafee9c,0x6a01af210dce01f44b5067fc688641384a8bce5b,14,10,9000,2149
5/1/2023,0xc0c58ec85c4f2bab4f288a487177ff91af45c7c5a6d4a6e32eb09b240ba131a7,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x728b3de78c3bd3e9c970524ca6aae1f8d6a61996,0x63e0605491bda6e4c1c37cf818a45b836faf46ee,13.6,0.99,9000,8355
5/1/2023,0x165563c8bfa4c448b16b881df0d2d2dfcbd8cf9c9efebfc893f690e4d11d97be,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xf4e14d778c2dbd6fd1a04f08721941eb3e1c9d6c,0x84957e6c9f6ccfed9c35c850c3903732ed90858a,13.31,0.01,9000,7000
5/1/2023,0x920cfba4f02d90089a6f5af682df1c19b88361b3ef40e3195e583568b9b69aa0,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x74fec90277fef63d5aca5a0d2f6a684cf4911b7a,0x77e3e957082ca648c1c5b0f3e6aec00ab1245186,10.01,0,9000,7362
5/1/2023,0x1dfc62f00de18478e5d1cc185b30229230b20c79464603ccbd11be6822a4dba5,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x900cb4a0bfa00d567cfbd2b425584341dbefc30d,0x515299b1a2637181ec95a3efeaa42a466195a40f,10.195,0,9000,941
5/1/2023,0xd05f62f5d91125efd6e3bbaa8a1eedf1298a3d2a9b929eaeaca4dfda46bea460,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x7834efeb10aec52c1692255bc2ef514b7d691d28,0x98a89cc081e22f910c14e6860a436269d5760c87,14.4,10,9000,6094
5/1/2023,0x25459a52e4bac0116ffa9a22c73692afdffbce520304658c3a504a8a365dd33c,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x0f65465ae79bab6241ec51e2d20d3183d76c6b0a,0x77e3e957082ca648c1c5b0f3e6aec00ab1245186,9.91,0,9000,797
5/1/2023,0xa6abac219ecd71d7caf7842b4f51263b78ef3cdadaf0325781101c1a26a0b5bb,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x385ce35599ae5e6f0eaf0f69841fffa9f41acdd5,0x84957e6c9f6ccfed9c35c850c3903732ed90858a,10.9,0.015,9000,4976
5/1/2023,0xfcc549263c582104376b24714f763c97e8446498175df0fc052eda193f854c3a,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x453f143ef520c410fce45469382fe5bcca49d6a4,0x84957e6c9f6ccfed9c35c850c3903732ed90858a,13.71,0.25,9000,647
5/1/2023,0xb090428c24b9c732029bf97cb8b6a8280166b4fed90434409b59b45498fdce8e,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xb029eef1f5505764d0df1750f55612958547de57,0x5f1ee29361206f1a129e808736f11598356c6031,15.4,0.422,9000,5052
5/1/2023,0xd7b5074d426b1746166f920adbd2315273ebbc76e9771c210f73b1307df641b3,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x8dfb37aae4f8fcbd1f90015a9e75b48f50fd9f59,0xf9f02def55e1cceedf017e0353c14ba6f7f4d3df,15.6,9.99,9000,1865
5/1/2023,0xfdef247b8c1754211a7d8ad0f6977984d627016cd17449245daf809b2258062d,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xa642958f12df82c21d479bcbe90606e7186ee2ec,0x84957e6c9f6ccfed9c35c850c3903732ed90858a,9.71,0.005,9000,3368
5/1/2023,0x41ee1e0521c15c3c66a7f4cbc5799b21c600aa157627c9a80ddbd603aeae94b6,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xce841f783dc6d9df256af36b1cf6b3a52aa57cdc,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,13,0.35,9000,2002
5/1/2023,0x922d211ee17859e958b56795745644e1390bc68b730482a392b4c8d076d058d8,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xb2ee8af0d4435950380f67816da29caa6fc76793,0x5f1ee29361206f1a129e808736f11598356c6031,15.4,0.422,9000,8403
5/1/2023,0x554de8710fecd4887a56ce031284985ca138880e7a782506b80a8f01a8c88d44,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xe74ca58ef724b94fac7f2e09e2e48536a5c1ad03,0x966567f33b3f1f99121ebbad85a87dccc2a530f4,13.71,0.5,9000,9225
5/1/2023,0xd75d15f152f1af42ba12fb7229893f1b97dbbb4b784764a298f15fc31d79e5b5,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x5ecc70186589306fc6d92538b9fc5684c9c81994,0x63e0605491bda6e4c1c37cf818a45b836faf46ee,13.25,0.19,9000,6472
5/1/2023,0x0099b15283dee245a87cfba5667f2d8185d27d24da9ac04d16e7bd955aa84d5c,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xba8ce1c34f73518298e8b84ebc5557b714528740,12.75,0,9000,4071
5/1/2023,0x0a803989a7d94c11c447a79d35e5798a81d8af8ab152e627afd194fee116fd1c,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x127ecf853f7c0d59e415a28354e482fd41604b4f,0xba8ce1c34f73518298e8b84ebc5557b714528740,10.88,0,9000,7135
5/1/2023,0xb8e539fbd3b51e4d5492c4dd5cea418fd8be15eec8253e4cbd3c8ad23cc63b19,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xac3c837d67b4f638c0abbf711327cfd33149cf3d,0x7d176a8ff5b038a85923ae80b420534b9cb3b40f,11,0.005,9000,7542
5/1/2023,0x9102226a12d56ba45cc05db6e3d6bbf6b0cabf78499e8059be7e328baad4a96f,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xf38958a7f8b74d4dffce8af1e78152138d126cf6,0x6fb33b9061f6079d320dcaf369b696874cfd496f,13.71,0.9,9000,2149
5/1/2023,0xdf6b875245d808e868bd902322645d292b440fad1354b42ae1a70e422697795c,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x9e2669730e96a67b9da11e3edb810e09efe74831,0xf482d8aba834789f5c7fabb0b48a1168c1466d43,13.11,0.155,9000,8493
5/1/2023,0x6760b665ad8f3427ce7f3d2d6bf7bc584d3b45042e0186dec8cdfa672f47f6c3,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x2334fd2c0010fb428724e31d8cfb0de030b3045c,0x385ce35599ae5e6f0eaf0f69841fffa9f41acdd5,15.7,10,9000,3782
5/1/2023,0x43b7632c3acf7204fbc9a5e2c7ae5b51eace5216a8997ade514378cad779c1cd,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xb26b5d90c8961a779efc8d8ad881b128dd8385eb,0xba8ce1c34f73518298e8b84ebc5557b714528740,12.61,0,9000,4976
5/1/2023,0x4442ac6a6ece5f00ca6416d48f7ed7455140a3d9bfa2464c2e9f3d0d9cc7845f,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x4b54caf0caaa938a1d11c07927ec4c45a3948eb9,0x515299b1a2637181ec95a3efeaa42a466195a40f,10.58,0,9000,5586
5/1/2023,0x0af07a68daf7ad9a217289d303ebabde744e98fb4a842b99a71b5116822eb016,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xbbdd1b3c87c211e482cda98ea14fa8bf50022ca0,10.95,0,9000,1209
5/1/2023,0x23e2ae7b7e42f7db9f02ccd08b00f4bed8789667f6bb70056863f1ac90d353d6,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x37c6503732e8c8b9af50bd3755c3530f6b032dfd,0x63e0605491bda6e4c1c37cf818a45b836faf46ee,13.21,0.19,9000,1429
5/1/2023,0x70cce665cbb86ed7edea14e98c84785899a0e30592f28f0eda42653b938eb90c,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x07670dd0d0d00ed6ec47cd4073c7ad5ddda32405,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,13,0.35,9000,5821
5/1/2023,0x828b6f9023a6214b130504177f2bb8da1e4778aceb5b5867ea4a90dbee232953,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xac3c837d67b4f638c0abbf711327cfd33149cf3d,0xdd90986c500320b97636984194eba00299089e5a,11,0,9000,7019
5/1/2023,0x435abf15bb86212e2b23ee70e35efa4470b5ae750fade867547239c1d85439a9,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x127ecf853f7c0d59e415a28354e482fd41604b4f,0x178e32324c7998fcdcd674f1553e0471ee260f67,12.62,0,9000,2722
5/1/2023,0xf46d74c14c8de877d19e30d18e5b25e51013c875ef7328be2c556dc34a82777a,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x453f143ef520c410fce45469382fe5bcca49d6a4,0xf32e0e22ff269a62aedb1b9cda736d6749efd63e,13.41,0.2,9000,8440
5/1/2023,0x40d4f076ab86161d1920e698b8bd7a3d897e5f9a23f50d03774bd037d17ab50c,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xd8b07bc1bc3bae553bca5e94e99935dc12df24ff,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,13,0.35,9000,548
5/1/2023,0xab3af230ee9c1bb7ebd21ccda31f4d07ab9ba2ab19911247676bab1c7542da53,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x900cb4a0bfa00d567cfbd2b425584341dbefc30d,0x515299b1a2637181ec95a3efeaa42a466195a40f,10.195,0,9000,1352
5/1/2023,0x68c34947aaa8046946867e10c82a2fb21b59ae9618f1f5eef81bcdaa0f536f05,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x8dfb37aae4f8fcbd1f90015a9e75b48f50fd9f59,0xbbdd1b3c87c211e482cda98ea14fa8bf50022ca0,14.3,10,9000,7163
5/1/2023,0x9128e1dce8f7915cb90df2770c78316f26f08cbe8e47a1764bc6ebf707762a41,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x9c6575574e47d9d9a8e6f6a3436da9b15931975d,0x2eac22ba09fc947261739c9cc15c3536d6a000ec,1.5,0,9000,9654
5/1/2023,0xa609db6086e2abcaebddcd24b0371c895ce9433b18a9d33dba03b95009790923,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x50d36f27872f637ec9ecb4eedff300df44a608ab,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,12.83,0.35,9000,8851
5/1/2023,0xf66f5c32033bb622cf826a1569e746db0c287a3bb3d0645d558ae6fe1afa3f50,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x453f143ef520c410fce45469382fe5bcca49d6a4,0x63e0605491bda6e4c1c37cf818a45b836faf46ee,13.41,0.19,9000,378
5/1/2023,0x0fc14d4c755279a5b843877f706e2972e5ae199b850b14980f3bea9d7897799a,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x61a661643bbced019ea4594405e6c8d1b47704f2,0x84957e6c9f6ccfed9c35c850c3903732ed90858a,12.61,0.069,9000,8367
5/1/2023,0xab45f275ffe496efa19bdd7e80a226d64bdfa668a8ff507e53d15e14bab6e350,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xd91dc7c83bd01b91cb25019dfc4e35bc6faab814,0x863e7aaded2b90a08802d362b7fbf228b65c5bc9,14.1,10,9000,8443
