time,evt_tx_hash,contract_address,collection_address,borrower,lender,loanAmount,interestRate,auctionDuration,tokenId
5/8/2023,0x9df06317c5d9a3670e3278f5a1c01d1f6dbf41bf46e4d4c6df7ce651bae29690,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0xdfef68b86eff06691e3edfaebf620c84eb86f0e3,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,7.6,0.75,9000,2765
5/8/2023,0x2c198e5103cf2721a483b765b19243caac36fbf6e7fef58667d79740fd8cd1a4,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x0d3c65648baddff4488b7867a043436bc6842ade,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,7.6,0.75,9000,2811
5/8/2023,0x5ed4e3486db5fd139abf4c67646925c4f5f537563790c712dd88c2ac25533645,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0xe45e6b4ee9dc876df89d0bcae820af36cd66d712,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,7.6,0.75,9000,4712
5/8/2023,0xfe7702cbfa5886e78772868bec7632c3b4666e6b626f7107e3adcfd734a64b7d,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x9c6de3e4a49dca1b32b47fb095284501e318d159,0xb2ee8af0d4435950380f67816da29caa6fc76793,6.81,0,9000,7337
5/8/2023,0x3e92259943bd918096fcfbd4c449e0409aab9ffe0dd921a157f58e91113684ce,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x26bcb16a88a9179efadc11b90e2a55ed8bd74b6c,0xd22f473a88430f626d60d70fd96d51b2e7190601,8.1,10,9000,2051
5/8/2023,0x11dacd1fffb79ad649ed5c6998c76e900ba48c1b7b6ab50cf34e7b6fbc8e8ea8,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x0d3c65648baddff4488b7867a043436bc6842ade,0xd22f473a88430f626d60d70fd96d51b2e7190601,8,10,9000,4722
5/8/2023,0x34def1aa7dbb0d3ab2fc455b13ec1fe6995756c4fec3b89c3fb2ec8e0554aebf,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x26bcb16a88a9179efadc11b90e2a55ed8bd74b6c,0xd22f473a88430f626d60d70fd96d51b2e7190601,7.91,10,9000,1906
5/8/2023,0x3aeabe21562cc83f0ead1b30678df6fad10196a267c065883270aef1720f52ff,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x16d14e5aae3fe9af66a036d833b1ee10df6218e0,0x357b5396662b2903b8ec4efe9265bb158eb50644,5.82,0,9000,5168
5/8/2023,0x76e485505df6133a8427a87c305d7a5e16724e6ac43d774656d8ed4950aeea14,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x16d14e5aae3fe9af66a036d833b1ee10df6218e0,0xdcc78d193e64361c12f8c6f2e1c12daad0d07648,6,0,9000,6211
5/8/2023,0x9225d0b7377a5ec9e9d6198789b01fb02a1cd9b4feefa8e13eb36077e63decb3,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x26bcb16a88a9179efadc11b90e2a55ed8bd74b6c,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,7.6,0.75,9000,246
5/8/2023,0xda284f3abbf4facd1c1e5f93d192f28cce2656d32dba709c6806adcde0778e4a,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x121a184b7e0d081b9f745e0e9ec408d7c26560f2,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,7.41,0.75,9000,9562
5/8/2023,0xa9bfed2ff7c0ad21f3d1d46bfa2c1455d8f0e61be8e1402754fb5707d4ae5f4e,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x26bcb16a88a9179efadc11b90e2a55ed8bd74b6c,0x2f889a7a78e6bbc66e67107864b01338ea1e102d,8.2,9.99,9000,5391
5/8/2023,0x0cd0f2a7d8b8436da133e0a76ebe3d7d4250a3a23ba82e0aa068847d63e86224,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x0970b838d4d209b21de42ca52f7e0fe79811de26,0x4dff46c516cf287e9bed9b85d70c537b792f4f74,6.21,0,9000,1994
5/8/2023,0xd54650462942844d60f454a23fa613d4b2bfd97ed7925205faa6506a1a17e57c,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x0d3c65648baddff4488b7867a043436bc6842ade,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,8.01,10,9000,3652
5/8/2023,0x4d3e860658ce2ad2228d8d715738a2f9ed4dc3fac5a3a094541f65055a286ac7,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x68c8bc6577c091dac3ea75c26594fd26f23e91f4,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,8.01,10,9000,9860
5/8/2023,0xf9e522263190f9a9900e82b7e0d07fee98f2acc2ff9d391620307e9374849488,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x16d14e5aae3fe9af66a036d833b1ee10df6218e0,0x8bc110db7029197c3621bea8092ab1996d5dd7be,6.96,0,9000,9903
5/8/2023,0x512e4143e06ef16a6a03b7b0d2a2b27f5daeeb53325907508ea64a87a69f2e1e,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x16d14e5aae3fe9af66a036d833b1ee10df6218e0,0x8bc110db7029197c3621bea8092ab1996d5dd7be,6.96,0,9000,1632
5/8/2023,0x43fe9526919e4183a828a4d67d02476adf1e56603be3de4a8cbd57627d08c745,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x68c8bc6577c091dac3ea75c26594fd26f23e91f4,0xfbff2739978790aa7655fb1b75bb1811e347c1fd,7.71,9.98,9000,2443
5/8/2023,0xafc7cfc5d107999c154aaa29c1f2fc49f8c98af809d249bf5d5262d47bdff372,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x67679f44444c6a896ef894713fed7aef8d8f3234,0x8bc110db7029197c3621bea8092ab1996d5dd7be,6.91,0,9000,310
5/8/2023,0x719f51f2e7262a4763b932afdae8b3a488a6a471758ce4049e886d3386612288,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x68c8bc6577c091dac3ea75c26594fd26f23e91f4,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,8.01,10,9000,4012
5/8/2023,0x1a84d2212871d4431b60d996c9f15b8f0d29147eeedd090a41a3ac12d3da9494,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x68c8bc6577c091dac3ea75c26594fd26f23e91f4,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,7.81,10,9000,8374
5/8/2023,0xdc6b99faaf79f5c75a437d957246c79ad1c69658a30c1d3261b67378c369f80f,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x68c8bc6577c091dac3ea75c26594fd26f23e91f4,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,8.01,10,9000,8583
5/8/2023,0x68b1a146addad9c7b98719f30b2152a8bc4b7d67dd2f40c2bf7f950dc6f036fd,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x68c8bc6577c091dac3ea75c26594fd26f23e91f4,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,7.81,10,9000,3562
5/8/2023,0xa887171ff8bf0ad9badd5af4ac33093b47e209d1a5e30680dfc53508eaf90795,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0xdd412468738ca63ea0f969948aba3e35e344009f,0x7d176a8ff5b038a85923ae80b420534b9cb3b40f,7,0.02,9000,2368
5/8/2023,0xee411f92c6e8c38e6f8bcf30d47c7ba9d05727a376bbf988cc22a282ec9eeca4,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x26bcb16a88a9179efadc11b90e2a55ed8bd74b6c,0xd22f473a88430f626d60d70fd96d51b2e7190601,7.6,10,9000,9909
5/8/2023,0xc0854fe8a07c8b3014e0579e6bfc8bb901d3df03e2f66240300bfd59823d332d,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x68c8bc6577c091dac3ea75c26594fd26f23e91f4,0xd91dc7c83bd01b91cb25019dfc4e35bc6faab814,8,10,9000,9274
5/8/2023,0xc1b78ef84dbff98198261385e2658db13b749b3f72ffcd9d7379df939e90b72a,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x26bcb16a88a9179efadc11b90e2a55ed8bd74b6c,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,7.91,10,9000,5816
5/8/2023,0x98d4fac54a5230fc3a9bf17f43cb36c76bad1e94715fe81bbe78bf074fc4b97d,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x26bcb16a88a9179efadc11b90e2a55ed8bd74b6c,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,8,10,9000,9562
5/8/2023,0x2e586e03617a13938f17a15fe2a9745e7513a6eb379a9d8ca05dba307ffb88c3,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x26bcb16a88a9179efadc11b90e2a55ed8bd74b6c,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,8,10,9000,3275
5/8/2023,0x4fff95367c7a2e5258fa5ef013f72ca2bca5592c5792bcdb1bc41693c744a0b8,0x29469395eaf6f95920e59f858042f0e28d98a20b,DeGods,0x26bcb16a88a9179efadc11b90e2a55ed8bd74b6c,0x7de92ca2d0768cdba376aac853234d4eed8d8b5c,8,10,9000,2765
