time,evt_tx_hash,contract_address,collection_address,borrower,lender,loanAmount,interestRate,auctionDuration,tokenId
5/1/2023,0xe22924fad81a86bc053840c5db39db1b90b716134c1163bf4235a70731ad1632,0x29469395eaf6f95920e59f858042f0e28d98a20b,Milady,0xbd28c212c1944ca049f983ada0d26c533c5c23d6,0xd2c6259b5caf917f510fccb5bd83c9e78f423098,3,0,9000,8639
5/1/2023,0x2103497fe66822e14a2dd4ff1e5ef732ca41a4068db89e64512d29da9aa2cc36,0x29469395eaf6f95920e59f858042f0e28d98a20b,Milady,0xbd28c212c1944ca049f983ada0d26c533c5c23d6,0x84e40a13b42b1a24f031459d48b45d90b46297a1,2.565,0,9000,3161
5/1/2023,0x268162995986f1702896700ee936122b8820fca7bdf95dca341bd4d086641700,0x29469395eaf6f95920e59f858042f0e28d98a20b,Milady,0x01c12063b7b5b783a989a60af9f9f06534307a2d,0x84e40a13b42b1a24f031459d48b45d90b46297a1,2.69,0,9000,7871
5/1/2023,0xec71d59b30cd4294af620c086b030866265329e5271ab4ff1eca8fb5f8280d33,0x29469395eaf6f95920e59f858042f0e28d98a20b,Milady,0xc7d97b8f43823da80b5666f3016d525d696be3bd,0x13fb8e9df53dde6fb1a4018b3bd76e7f170933c3,3.4,0.75,9000,4346
5/1/2023,0x221421a7057f068a9bc753ec13f9aaf2c79fda4388bb9fc53000854f753d3a20,0x29469395eaf6f95920e59f858042f0e28d98a20b,Milady,0xbd28c212c1944ca049f983ada0d26c533c5c23d6,0xfbff2739978790aa7655fb1b75bb1811e347c1fd,2.31,0,9000,8533
5/1/2023,0x1b3941c9a2c542e133ae05be62fb9ffc03773abd4f62ff260cc012d974466fbf,0x29469395eaf6f95920e59f858042f0e28d98a20b,Milady,0x52515c9b4de4185f474140da9f7c6eb8d443f05a,0x0001fc0b945c30389ae805443e38e59a655662d3,3.4,5,9000,9036
5/1/2023,0x6a1f45537331818dea89ee5601f2ce202cd58caf6a4450d337f0addb28de4fc0,0x29469395eaf6f95920e59f858042f0e28d98a20b,Milady,0x3f0fb61b79ceea17dcf7a7f38446485c2fc10ed1,0xb7e2f7243880295d4830bfb19fc4cb318031b851,2.4,0,9000,8852
5/1/2023,0x845529e47d424422a97b15c54902f8b19f885a661cf5f95e02bf33e7b7e89fcc,0x29469395eaf6f95920e59f858042f0e28d98a20b,Milady,0xbd28c212c1944ca049f983ada0d26c533c5c23d6,0x1b57d440351f566ab96d90d606dd2b4f96dbe864,2.31,0,9000,628
5/1/2023,0x0398adf4a1f00454f6922b007a0a17d6e42aea2008886786688f66fcfaf72eae,0x29469395eaf6f95920e59f858042f0e28d98a20b,Milady,0x01c12063b7b5b783a989a60af9f9f06534307a2d,0x1b57d440351f566ab96d90d606dd2b4f96dbe864,2.4,0,9000,4695
5/1/2023,0xe8294ff89e3a429f60ac9e776f2d78b21133367ec40949fc175623f9b924b02d,0x29469395eaf6f95920e59f858042f0e28d98a20b,Milady,0x68d81ee6b79ab50abf1d921f45b8446393d7da8b,0x5f8d97f2d7f16194e84d560ed3ebc54187f0a1d8,3.2,0,9000,5102
