time,evt_tx_hash,contract_address,collection_address,borrower,lender,loanAmount,interestRate,auctionDuration,tokenId
5/1/2023,0x6d5c93dc29e338814e41f7b5dd5fd6e8b847ad25dba476dbd39d34d43b017938,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x453f143ef520c410fce45469382fe5bcca49d6a4,0xf32e0e22ff269a62aedb1b9cda736d6749efd63e,42.5,0.2,9000,5461
5/1/2023,0x74ce26f453780f8d978ea515f37a7a7c3b511c1fe9d1f2168960dfeea5b579ee,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x453f143ef520c410fce45469382fe5bcca49d6a4,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0.8,9000,7100
5/1/2023,0x03c9ea56764df4850c365ec6aee36a78e8e2fff907423edca51d0bc16e86c890,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x453f143ef520c410fce45469382fe5bcca49d6a4,0x24d1b657698f4d39bbffc1640dd6cba37b5190ef,42,0.106,9000,1930
5/1/2023,0xd64af83725c6c10decc32383cfc5e10a5808fb3a035daa5b8505d2924e3cf3d0,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0,9000,5196
5/1/2023,0x922e36f355eae9e897187d9f53d9e69ddbebc0b49211d77a50a6cb5171a0dfaf,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0,9000,1372
5/1/2023,0xc69e32a022acd3bb2d265b46f32ca4ac1f4393ad5f12cde88bc361c67eed0b6f,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0,9000,1482
5/1/2023,0x431b109af5350184ec54cb1e268370d060965b425386154d08ac84c5ccc4c099,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0xa4c623295bd8a9e9860fe2ec209da2cbc6343e65,42,0.35,9000,4329
5/1/2023,0x9e29690e7acf007d28a22459cfa2ee924e75a57dd12ffadf4d789e928c3e7d92,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x3924b7681c6110fcd3628164388c3307f79d1059,44,0.3,9000,8809
5/1/2023,0x2a40ddb05b880d6a4b908c060a9d46bb21da115ab5f8d5e9ac309c0639963fe6,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x86c36a26142a4c970769ecdab9c859cce0c1c1eb,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0,9000,1678
5/1/2023,0x9e3b323604f3094a0bd38ca75ae648540cd8f011e3d2aa7f871c2acfe01df6dc,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x5c943975ef916c5ed28c4c1105685c0582abd31e,42,0.35,9000,3637
5/1/2023,0x7606bf40b94968ff7a423d4f552752037467554706763f9474aedf2d557a2226,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0xbc70de3ca1335c11a87926f270826377c9b1a4ed,0x5d5335e6bea4b12dcb942cec1da951ae63f2ae64,35.91,0,9000,6710
5/1/2023,0x7306143dc629a221005ceeb3c4fb2fded039b6ce05411280bc317281a9ea0952,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0,9000,2040
5/1/2023,0x9221a957d59db78ff320c6e7a7df0831e9b9a2a94748fb398f54c7a065cfd462,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0,9000,4434
5/1/2023,0x8b52e86ab17519448b38afecbfbef574cd4acb4ee5c7a6dda30ec4e0e973d45f,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0,9000,9007
5/1/2023,0x6d8b23f0f1bb78a8658101a5a2564bbdbeda0e2f9faca7f30a5f6aa671a832d9,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x0232d1083e970f0c78f56202b9a666b526fa379f,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0,9000,4118
5/1/2023,0xcb65fe5b9f5b6e6f3f499db0b94d2ccf59028d986f1c9a9ef2cc02321223a485,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x96488f9fcd0c6997c771a26d85d1f61cacfa502c,0x8bc110db7029197c3621bea8092ab1996d5dd7be,45,0,9000,1595
5/1/2023,0x13b676e21673e7b6ac34f8d3e2927a829221bab5d97551e10cabc61386eacb8b,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x6cfdad0772edc2ea15076a9706ec7c1f0a791ac1,0xfbbf9610ef0e01db8381350144befef0b6d22d13,35.1,0.01,9000,9106
5/1/2023,0xa8d90f129ee5643a586ec04ce639cbfb75cb39e3629c2371d634817be2302716,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0xaae8c50d76c76fb8947c9a203103d28b55862977,0xfbbf9610ef0e01db8381350144befef0b6d22d13,41.85,0.1,9000,5919
5/1/2023,0x08f8ecaadb3162b4fdb0775af4e5150982d789c98174424c44e39c49dff43a70,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0xdaed2ecb1a732f20b36c52bb742a0b61e4baebab,0x5cadce51db28ab261e50743feb881a3f7aca0a69,38.4,0,9000,7941
5/1/2023,0x73cbc02bee9ed78c5266a2e8995b85191159fddca3d30e5125c72ce0dd64deed,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0xab7366058f5fcadf64d3a700f12e57429f273502,0x8bc110db7029197c3621bea8092ab1996d5dd7be,48,10,9000,9106
5/1/2023,0xee0d58810b7c992974688e88be1e1062808cc746f18ca0e61149a7311360a510,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0xaae8c50d76c76fb8947c9a203103d28b55862977,0xfbbf9610ef0e01db8381350144befef0b6d22d13,40,0,9000,7922
5/1/2023,0x7073be9a4d52f4f4f54eb4cee240b94c25c3c56397e430417f9e8a0dccba0327,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0xaae8c50d76c76fb8947c9a203103d28b55862977,0xa22b832c90e02a767c58b2e3c7ca19f9dcb9fa11,35.04,0,9000,8719
5/1/2023,0xbaca0b7163a557464905892b8a8631bb1e398e7461a32fd52ef846e8d2b40576,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x3447b7f5049143b9d8926cddeac1f42a2ce82b34,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,49.1,0.01,9000,6121
5/1/2023,0x2e9eeec16bc712ad3527ae92da2a2b03cb1e2b61b439dbc7023b39da26f6ee33,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,0x445d3c311b4c7fe709f8f1f895194a1f4aedd5b3,49.1,0.01,9000,3716
5/1/2023,0xdfbca409d086244c2df1074a433d9da425c5cab1837c6d06878023b2a80d6226,0x29469395eaf6f95920e59f858042f0e28d98a20b,Wrapped Cryptopunks,0xa7631836db2e3ec13cb2e7cfbc687c168dbed336,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,49.1,0.01,9000,7100
